 

stn;time;gor000za
WSLBAF;200001010000;0
WSLBAF;200001010010;0
WSLBAF;200001010020;0
WSLBAF;200001010030;0
WSLBAF;200001010040;0
WSLBAF;200001010050;0
WSLBAF;200001010100;0
WSLBAF;200001010110;0
WSLBAF;200001010120;0
WSLBAF;200001010130;0
WSLBAF;200001010140;0
WSLBAF;200001010150;0
WSLBAF;200001010200;0
WSLBAF;200001010210;0
WSLBAF;200001010220;0
WSLBAF;200001010230;0
WSLBAF;200001010240;0
WSLBAF;200001010250;0
WSLBAF;200001010300;0
WSLBAF;200001010310;0
WSLBAF;200001010320;0
WSLBAF;200001010330;0
WSLBAF;200001010340;0
WSLBAF;200001010350;0
WSLBAF;200001010400;0
WSLBAF;200001010410;0
WSLBAF;200001010420;0
WSLBAF;200001010430;0
WSLBAF;200001010440;0
WSLBAF;200001010450;0
WSLBAF;200001010500;0
WSLBAF;200001010510;0
WSLBAF;200001010520;0
WSLBAF;200001010530;0
WSLBAF;200001010540;0
WSLBAF;200001010550;0
WSLBAF;200001010600;0
WSLBAF;200001010610;0
WSLBAF;200001010620;0
WSLBAF;200001010630;0
WSLBAF;200001010640;0
WSLBAF;200001010650;0
WSLBAF;200001010700;0
WSLBAF;200001010710;0
WSLBAF;200001010720;0
WSLBAF;200001010730;0
WSLBAF;200001010740;0
WSLBAF;200001010750;1
WSLBAF;200001010800;3
WSLBAF;200001010810;7
WSLBAF;200001010820;10
WSLBAF;200001010830;30
WSLBAF;200001010840;76
WSLBAF;200001010850;85
WSLBAF;200001010900;88
WSLBAF;200001010910;60
WSLBAF;200001010920;57
WSLBAF;200001010930;77
WSLBAF;200001010940;64
WSLBAF;200001010950;63
WSLBAF;200001011000;89
WSLBAF;200001011010;97
WSLBAF;200001011020;29
WSLBAF;200001011030;127
WSLBAF;200001011040;62
WSLBAF;200001011050;25
WSLBAF;200001011100;4
WSLBAF;200001011110;9
WSLBAF;200001011120;104
WSLBAF;200001011130;26
WSLBAF;200001011140;7
WSLBAF;200001011150;5
WSLBAF;200001011200;7
WSLBAF;200001011210;9
WSLBAF;200001011220;3
WSLBAF;200001011230;5
WSLBAF;200001011240;8
WSLBAF;200001011250;6
WSLBAF;200001011300;8
WSLBAF;200001011310;10
WSLBAF;200001011320;24
WSLBAF;200001011330;10
WSLBAF;200001011340;18
WSLBAF;200001011350;33
WSLBAF;200001011400;10
WSLBAF;200001011410;4
WSLBAF;200001011420;5
WSLBAF;200001011430;5
WSLBAF;200001011440;4
WSLBAF;200001011450;1
WSLBAF;200001011500;5
WSLBAF;200001011510;4
WSLBAF;200001011520;2
WSLBAF;200001011530;3
WSLBAF;200001011540;1
WSLBAF;200001011550;1
WSLBAF;200001011600;0
WSLBAF;200001011610;0
WSLBAF;200001011620;0
WSLBAF;200001011630;0
WSLBAF;200001011640;0
WSLBAF;200001011650;0
WSLBAF;200001011700;0
WSLBAF;200001011710;0
WSLBAF;200001011720;0
WSLBAF;200001011730;0
WSLBAF;200001011740;0
WSLBAF;200001011750;0
WSLBAF;200001011800;0
WSLBAF;200001011810;0
WSLBAF;200001011820;0
WSLBAF;200001011830;0
WSLBAF;200001011840;0
WSLBAF;200001011850;0
WSLBAF;200001011900;0
WSLBAF;200001011910;0
WSLBAF;200001011920;0
WSLBAF;200001011930;0
WSLBAF;200001011940;0
WSLBAF;200001011950;0
WSLBAF;200001012000;0
WSLBAF;200001012010;0
WSLBAF;200001012020;0
WSLBAF;200001012030;0
WSLBAF;200001012040;0
WSLBAF;200001012050;0
WSLBAF;200001012100;0
WSLBAF;200001012110;0
WSLBAF;200001012120;0
WSLBAF;200001012130;0
WSLBAF;200001012140;0
WSLBAF;200001012150;0
WSLBAF;200001012200;0
WSLBAF;200001012210;0
WSLBAF;200001012220;0
WSLBAF;200001012230;0
WSLBAF;200001012240;0
WSLBAF;200001012250;0
WSLBAF;200001012300;0
WSLBAF;200001012310;0
WSLBAF;200001012320;0
WSLBAF;200001012330;0
WSLBAF;200001012340;0
WSLBAF;200001012350;0
WSLBAF;200001020000;0
WSLBAF;200001020010;0
WSLBAF;200001020020;0
WSLBAF;200001020030;0
WSLBAF;200001020040;0
WSLBAF;200001020050;0
WSLBAF;200001020100;0
WSLBAF;200001020110;0
WSLBAF;200001020120;0
WSLBAF;200001020130;0
WSLBAF;200001020140;0
WSLBAF;200001020150;0
WSLBAF;200001020200;0
